oid,tp,slope_at_tp,L50,M_Ni,E_exp,nobs,tobs
ZTF23aamskdj,140.79521410004236,-8.91381725031608e+39,1.40538951317436e+42,0.5794414512935323,4.858720720854737e+50,53,191.7520138998516
ZTF23aamsarj,64.49693865003064,4.007182711343487e+40,1.7783283946274566e+43,0.2092967765319191,2.94413992122653e+52,47,82.98474540002644
ZTF23aakcbfv,75.90896415011957,-1.8580004476258933e+39,2.7893890961737536e+41,0.03374316700748624,9.178132180395647e+48,24,88.9549652999267
ZTF23aajkfls,105.84148149983957,-7.962124951709673e+40,3.374894018415383e+42,0.2001308043024612,2.3653226139230933e+51,37,106.85616899980232
ZTF23aajucmw,107.87784725031815,-3.2373166113312616e+41,1.8432070844740946e+43,2.0947176388104647,4.891020415149999e+52,37,135.77885420015082
ZTF23aaejumk,71.90399885037914,-1.40784760924053e+39,6.760695976533433e+41,0.07524671487382692,4.3840514604886615e+49,18,76.88968750042841
ZTF23aadruma,72.33601269987412,-1.0197317102065503e+40,1.02731132057117e+42,0.06000775622095916,1.1618455085143663e+50,8,84.78687499975786
ZTF23aadbbxv,65.55261570005678,-1.9696955036492325e+41,8.373348166171182e+42,0.46163604717986884,4.840310226363718e+51,13,69.00012730015442
ZTF23aacrvqj,85.33405089983717,-3.3042896523445566e+40,2.432858833590266e+42,0.17351893741613422,7.76853015741007e+50,20,99.88408559979871
ZTF23aacjetk,60.946817150106654,-2.0705210260085568e+40,2.1396789395267517e+42,0.2373608008218573,2.6718181958153096e+50,9,65.9276389000006
ZTF23aacfkak,64.888072950067,6.733253718460668e+40,-2.287160619165258e+42,0.4302892110402859,,11,77.86490740021691
ZTF23aacdlsh,99.84053240017965,-2.4060075786005077e+40,9.668139243211802e+41,0.10278290961026999,1.7207960126138628e+50,26,106.94057870004326
ZTF23aabutcv,64.87918985029683,2.6116839402232925e+39,2.9059407872693634e+42,0.350566229276794,5.2688613429566886e+50,11,65.89987270021811
